ཀཝ་ kau
དམརཔོ་ ’mâp
དར་བ་ d’âu
དར་འཕྱར་ d’â
དར་ཤིང་ d’âshi
དྲག་ཤོས་ Dr’âsho
དྲུག་ dr’û
དྲེལ་ dr’eng
དྲེལ་ dr’eng
དྲོ་པ་ dr’ôba
དྲོད་ dr’ö
དུག་ d’û
དེ་ཅིག་ deci
དེ་སྦེ་ d’ebe
དོང་ d’ong
དོན་ d’ön
དོམ་ d’ôm
དོརམ་ d’ôm
ན་ཧིང་ nahing
ནངས་པ་ nâba
ནདཔ་ nep
ནམ་ nam
ནས་ nâ
ནས་ nâ
ནཱ་ nâ
ནཱ་ nâ
ནོར་རྫིཔ་ nôzip
པགས་ཀོ་ pako,
པྱི་ཝང་ pciwang
པར་ pâ
པྲ་མོ་ tramo
ཕྱག་ châ
ཕྱག་འཚལ་ནི་ châtshäni
ཕྱགམ་ pchâm
ཕྱུགཔོ་ pchup
ཕྱེ་ pchi
ཕྱེད་ pchê
ཕྱེད་ཀྲམ་ pchetra
ཕྱེན་ pchen
ཕོ་བྲང་ phodra
ཕོབ་ phop
ཕོབ་ phop
ཕོབ་ put
ཕོརཔ་ cup
ཕོརཔ་ phôp
ཕོརཔ་ phôp
བཀའ་དྲིན་ཆེ་ kadriche
བཀྱིག་ ki
བཀྲ་ཤིས་ trashi
བཀྲོང་ trong
བཀལན་ kän
བཀུགཔ་ kup
བགྲོསཔ་ dröp
བགོ་ g’ô
བགོ་ g’ô
བཅར་ câ
བཅུ་ཐམ་ cuthâm
བཏུབ་ tup
བཙའ་ tsâ
བཙོགཔ་ tsop
བཙོན་ཁང་ tsönkha
བཞག་ zhâ
བཞི་ zhi
བཞི་ཕོད་ zhiphö
བཟངམ་ zâm
བཟློག་ཐབས་ dokthap
བཟུམ་སྦེ་ zumbe
བཟོཝ་ zou
བྱ་ bj’a
བྱ་ bj’a
བྱག་ bj’â
བྱག་ bj’â
བྱམས་ j’am
བྱམོ་ bj’am
བྱི་ཙི་ bj’itsi
བྱི་ལི་ bj’ili
བྱི་ལི་ bj’ili
བྱིན་ནི་ bj’in-ni
བྱེམ་ bj’im
བྱོན་ j’ön
བྱོའོ་ bj’ô
བརྐྱང་ cang
བརྒྱད་ gä
བརྒྱད་ gä
བརྒྱུགས་ ju
བརྒལ་ gä
བརྔ་ ’nga
བརྔམ་སི་སི་ ’ngamsisi
བརྔོ་ ’ngo
བརྗེད་ jê
བརྙ་ ’nya
བརྟག་དཔྱད་ takce
བརྟག་དཔྱད་ takce
བརྡབ་ dap
བརྩམ་ tsam
བརྩིགསཔ་ tsip
བརླད་དོ་ ’lädu
བལ་ b’ä
བལ་ b’ä
བལྟ་ཤིག་ Tash!
བལྟབ་ tap
བལྡགས་ dâ
བླམ་ ’lam
བླམ་ ’lam
བློ་ ’lo
བློ་གསལ་ ’Losel
བཤད་སླབ་ནི་ she
བཤད་སླབ་ནི་ she’lapni
བཤལ་ shä
བཤལ་ shä
བཤལ་ནི་ shäni
བསྐྱབ་ cap
བསྐྱིས་ ki
བསྒྱུར་ jû
བསྒྲིམས་ drim
བསྒུག་ gû
བསྔོཝ་ ’ngou
བསྟོད་པ་ töba
བསད་ sê
བསད་ sê
བསྡམ་ dam
བསླབ་བྱ་ ’lapja
བསིལ་ sî
བུམོ་ b’um
བེད་སྤྱོད་འབད་ b’ecöbe
བོདཔ་ B’öp
མ་ ma
མཁྱེན་ khen
མཁྲིས་པ་ thrîp
མཁསཔ་ khäp
མགྱོན་ཁྱིམ་ gönchim
མགྱོནམ་ göm
མགརཝ་ gâu
མགུ་ gu
མངརམོ་ ’ngâm
མཆོངས་ chong
མཇུག་མ་ juma
མཇེ་ je
མཉམ་ ’nyam
མཉམ་གཅིག་ ’nyamci
མཐོ་ tho
མདའ་ཕོག་ daphô
མདེའུ་ diu
མནའམ་ ’nam
མནར་ nâ
མནར་ na,
མནོ་བསམ་ ’nosa
མཚམས་ tsham
མཛེ་ནད་ dzêne
མར་ mâ
མར་ mâ
མར་ཁུ་ mâkhu
མས་ me
མིག་ཏོ་ ’mito
མིང་ meng
མིང་ meng
མེ་ mi
མེད་ mê
མེད་པར་ meba
ཙ་རི་ Tsari
ཙན་དན་ tsende
ཚང་ tshang
ཚད་ tshê
ཚད་པའི་ནད་ tshebinê
ཚབོ་ tshô
ཚྭ་ tsha
ཚལ་མ་ tshäma
ཚལ་ལུ་ tshälu
ཚེ་རིང་ Tshiri
ཚོགས་ལྷྭམ་ tshô-lham
ཚོང་ཁང་ tshongkha
ཛ་ཏི་ dzati
ཝ་ wa
ཝ་གཤོང་ wosho
ཝང་ Wang
ཞབས་ zh’ap
ཞབས་ཁྲ་ zh’apthra
ཞྭམོ་ zh’am
ཞྭཝ་ zh’au
ཞལ་ zh’ä
ཞིང་ zh’ing
ཞོ་ zh’o
ཟ་ z’a
ཟ་ཁང་ z’akha
ཟམ་ z’am
ཟླ་བ་ dau
ཟུག་ z’û
ཟེ་ z’e
ཟེ་ z’e
ཟེར་ z’ê
ཟོགཔ་ z’op
ཟོརཝ་ z’ou
འཁྱིད་ khi
འཁྱུ་ chu
འཁརཝ་ khâu
འཁྲུངས་ thrung
འགན་ཁག་ genkha
འགྱིར་ gî
འགྱོ་ནི་ joni
འཆམ་ cham
འཆའ་སྒམ་ châgam
འཆར་གཞི་ châzhi
འཇམ་ཏོག་ཏོ jamtoto
འཇམ་དབྱངས་ Jamyang
འཇའ་ཚོན་ jatshön
འཇའ་རིསམོ་ j’ârim
འཐོབ་ thop
འདམ་ dam
འདྲ་བཤུས་ drashü,
འདུག་ dû
འཕྱེངམ་ pchêm
འཕྲང་འཕྲང་ thrangthra
འཕྲོད་ thrö
འབག་ཤོག་ཤིག་ Bâshosh!
འབའ་ ba
འབྱང་ bjang
འབྱཱ་ bjâ
འབྱུ་ bju
འབྲུག་ drû
འབྲུག་གཞུང་ Dru
འབྲུག་ཡུལ་ Dru
འབལ་ bä
འབལ་ bä
འབུཔ་ bup
འབུམ་ bum
འཛམ་གླིང་ dzamling
འཛརཝ་ dzâu
འུགཔ་ ûp
འུབ་ up
འོངམ་ ôm
འོད་ཆེམ་ཆེམ་ öchemche
འོད་ཟེར་ öz’e
ཡབ་ yap
ཡིག་ཚང་ yitsha
ཡུམ་ yum
རྐངམ་ kâm
རྐན་ ken
རྐྱེན་ ken
རྐེདཔ་ kep
རྐེདཔ་ kep
རྒྱ་བོ་ jau
རྒྱ་སྦོམ་ jabôm
རྒྱབ་ jap
རྒྱལཔོ་ gäp
རྒྱུ་ ju
རྒྱུ་མ་ juma
རྒསཔ་ gep
རྒུན་འབྲུམ་ gündrum
རྒེད་འོག་ Geo
རྒེདཔོ་ gap
རང་དབང་ rangwa
རྔ་ ’nga
རྗེ་མཁན་པོ་ jêkhembo
རྙིངམ་ ’nyîm
རྟ་ ta
རྟིངམ་ tim
རྡོ་ do
རྡོ་ do
རྣག་ ’nâ
རྣམ་ཅོ་ ’namco
རྦད་ bê
རྨ་ ’ma
རྨགཔ་ husband
རྨགཔ་ ’map
རྨགཔ་ ’map
རྩང་ tsang
རྩཝ་ tsau
རྩྭ་ tsa
རྩྭམ་འབྲོག་ tsamdro
རྩིགཔ་ tsip
རྩིགཔ་ tsip
རྩིགཔ་ stone
རྩིསཔ་ tsîp
རྩིསཔ་ tsîp
རྩིསཔ་ tsîp
རྩིསཔ་ astrologer
རྫམ་ dzam
རྫས་ dzä
རྫོང་ཁ་ Dzongkha
རྭ་ཝོ་ rau
རླུང་ ’lung
རླུང་ནད་ ’lungne
རིག་པ་ཡོད་མི་ rikpayömi
རོ་ཁྱི་ rochi
ལ་ la
ལ་ la
ལྐུགས་པ་ kukpa
ལགཔ་ lap
ལགཔ་གཡོནམ་ lap
ལྒང་ཕུ་ gangphu
ལངམ་ lâm
ལྔ་ ’nga
ལྔ་ ’nga
ལྕགས་ câ
ལྕགས་ཀྱུ་ câcu
ལྕགས་གཟེར་ cangdze
ལྕགས་གཟེར་ cangdze
ལྕེ་ ce
ལྗིད་ jî
ལྗིད་ཅན་ jice
ལྟགཔ་ tap
ལྟདམོ་ têm
ལྟེ་བ་ tewa
ལྟེ་བ་ tewa
ལྟེཝ་ tiu
ལྟོ་ to
ལྟོ་ཚང་ totsha
ལྡེ་མིག་ dimi
ལམ་ lam
ལམ་ lam
ལྷ་ lha
ལྷ་ཁང་ lhaga
ལྷག་ lhâ
ལྷགཔ་ Lhap
ལྷབ་ lhap
ལྷབ་ lhap
ལྷྭམ་ཡ་གཅིག་ lhamyaci
ལྷོད་ lhö
ལཱ་ lâ
ལཱ་ lâ
ལཱ་ཁག་ lâkha
ལི་ li
ལུག་ lû
ལུག་ lû
ལུག་ lû
ལུད་ lü
ལུད་ lü
ལོ་ lo
ལོ་ lo
ཤ་ sha
ཤ་ sha
ཤྭཝ་ shau
ཤར་ shâ
ཤལཝ་ shäu
ཤི་ shi
ཤི་ནི་ shini
ཤིང་ shing
ཤིང་ shing
ཤེས་ shê
ཤེས་ནི་ shêni
ཤོ་ sho
ཤོག་ shô
ས་ sa
ས་ཁྲ་ sapthra
སྐམ་ kam
སྐྱ་ ca
སྐྱིད་ ki
སྐྱུརཔོ་ cûp
སྐྱོན་ kön
སྐུ་ honorific
སྐུ་ ku
སྐུདཔ་ küp
སྒ་ ga
སྒྲོ་ dro
སྒོ་ go
སྒོ་ go
སྒོགཔ་ gop
སྒོགཔ་ gop
སངས་རྒྱས་ Sangge
སྔགས་པ་ ’ngakpa
སྔུ་ ’ngu
སྔོན་འཇུག་ ’nyönju
སྙིང་རྗེ་ ’nyingje
སྟག་ tâ
སྟག་ tâ
སྟག་ལྤགས་ tâpa
སྟོན་ tön
སྡིག་ཅན་ dikcen
སྡོད་ dö
སྡོད་ dö
སྡོད་ dö
སྡོད་ dö
སྡོད་ཤིག་ śig
སྣག་རྩི་ ’natsi
སྤགས་ pâ
སྤའ་འོ་ pâo
སྤྱ་ pca
སྤྱང་ཀ་ pcangka
སྤྱི་མི་ cimi
སྤྱིན་ pcing
སྤྱིའུ་ལྟགཔ་ ciud’âp
སྤྱོད་པ་ cöba
སྤྲོ་སྟོན་ trotön
སྤྲོད་ trö
སྤུ་ pu
སྤོས་ pö
སྦྱང་ bjang
སྦྱང་ནག་ bjâ’na
སྦྱངམ་ bjâm
སྦྱི་ལི་ bj’ili
སྦྱིན་བདག་ jinda
སྦྲམ་ཙི་ dramsi
སྦལཔ་ bäp
སྦུག་ལུ་ bûlu
སྦུལ་ bü
སྦོམ་ bôm
སྨན་ ’men
སྨྱུ་གུ་ ’nyug’u
སྨོ་ཤིག་ ’Mosh?
སྲ་ཀྲག་ཀྲ་ satratra
སྲནམ་ sem
སྲས་ sä
སྲས་ sä
སྲསམོ་ säm
སྲིངམོ་ sîm
སྲིངམོ་ sîm
སྲིནམོ་ sim
སྲུངམ་ sum
སླབ་ ’lap
སློབ་གྲྭ་ ’lopdra
སློབ་དཔོན་ ’löbö
སེམས་ sem
སེར་སྦྱངམ་ sibjâm
སེརཔོ་ yellow
སེརཔོ་ sêp
སེརཔོ་ sêp
སོ་ so
སོ་ so
སོར་ sô
ཧ་སག་ hâsa
ཧང་ hang
ཧད་ ཧཱ་
ཧྲལ་ hrä
ཧྲིལཔོ་ hribu,
ཧིང་ hing
ཨ་ཞེ་ ’azhi
ཨའི་ ’ai
ཨིན་ ’ing
ཨུ་ཚུགས་ཅན་ ’utsucen
ཨེར་མ་ ’êma
ཨོམ་ ’ôm
ཨོལ་ལྐོག་ ’öko
བང་ཅུང་ b’angcu,
བལཔ་སེའུ་ b’äpsiu,
འབོ་ལོ་ཁར་ bolokha,
སྦག་པ་ bakpa,
སྦོམ་ bôm,
ཨ་ལུ་ ’alu,
ཨམ་ཚུ་ ’amtshu,
"དྲག་ཤོས་ — ཁྱོད་ཀྱིས་ཡིག་ཚང་གི་མ་དངུལ་དེ་ཚུ་ག་ར་ཐོབ་ཅི་ག།" "Dr’âsho — Chö-gi yitsha-gi ma-ngü-di-tshu g’âra thop-ci-ga?"
"ཀུན་ལེགས་ — ཨཱ་ ནཱ་འོང་པ་ཅིན་སྟེ་ འཕྲང་ཡར་ནདཔ་བཞག་སར་ཤོག་མས། ང་ལཱ་ཡར་ ནདཔ་བཞག་སར་ཨིན།" "Kinle — ’Â, nâ ong-macin, te thrang yâ nep zhasa shô’me. Nga lâ yâ nêp zhasa ’ing."
"ཀུན་ལེགས་ — ཨེང་མིང་ལེགས་ཞིམ་འདུག། ཁྱོད་ལུ་རྨགཔ་ཡོད་ག།" "Kinle — ’Eng, meng läzhim dû. Chö-lu ’map yö-ga?"
"ཀུན་ལེགས་ — དབའེ་ཁྱོད་ག་ཏེ་ལས་སྨོ་བུམོ་ཁོ་རེ།" "Kinle — ’Wae, chö g’âti-le mo, b’um khore?"
"ཀུན་ལེགས་ — དབའེ། དེ་སྦེ་མ་སླབ་དབའེ། ང་བཅས་ཀྱིས་ག་ནི་ཡང་བྱིན་ནི་མེད་པར།" "Kinle — ’Wae! D’ebe ma’lap ’wae! Ngace-gi g’anee bj’in-ni meba."
"ཀུན་ལེགས་ — ཁྱོད་ཀྱི་མིང་ག་ཅི་ཟེརཝ་སྨོ།" "Kinle — Chö-gi meng g’aci z’eu mo?"
"ཀུན་ལེགས་ — དེནི་ཨའི་དང་ཨ་པ་ཡོད་ག།" "Kinle — D’en ’ai da ’apa yö-ga?"
"ཀུན་ལེགས་ — ལགས་སོ།།" "Kinle — Laso."
"ཀུན་ལེགས་ — མེད་དབའེ། ད་ལྟོ་ལས་ཨམ་ཚུ་ག་ཏེ་འོང་ནི་ས།" "Kinle — Mê, ’wae! D’ato-le ’amtshu g’âti ong-ni sâ?"
"ཀུན་ལེགས་ — ནཱ་ཐིམ་ཕུག་སྨན་ཁང་ནང་ཨིན།" "Kinle — Nâ, Thimphu ’Menkha-na ’ing."
"ཀུན་ལེགས་ — ནམ་ལོག་འགྱོ་ནི།" "Kinle — Nam lo jo-ni?"
"ཀུན་ལེགས་ — ང་བཅས་ཧེ་མ་སློབ་གྲྭ་གཅིག་ཁར་བལྟ་ཡི་མེན་ན།" "Kinle — Ngace hema ’lopdra cikha ta-yi, me-na?"
"ཀུན་ལེགས་ — ཤོག་དབའེ། ག་ཡང་མེད། ང་རང་རྐྱངམ་གཅིག་རང་ཨིན།" "Kinle — Shô, ’wae! G’â-e mê. Nga-ra câmci-ra ’ing."
"ཀུན་ལེགས་ — སྟེ་ཁྱོད་ཀྱིས་ང་ངོ་ཤེས་ཅི་ག།" "Kinle — Te, chö-gi nga ngoshê-ci-ga?"
"ཀུན་ལེགས་ — སྟེ་ད་རེས་ཁྱོད་ནཱ་ཐིམ་ཕུག་ལུ་ག་དེམ་ཅིག་འབད་འོངམ།" "Kinle — Te, d’are chö nâ Thimphu-lu g’ademci-be ôm?"
"དཔལམོ་ — ཨའི་ཡོད་ཨ་པ་མེད་ལགས། ཨ་པ་ ཧེ་མ་ང་ཆུང་ཀུ་སྒང་ལས་གྱོངས་སོ་ ནུག།" "Päm — ’Ai yö. ’Apa mê lâ. ’Apa hema nga chunku-gang-le j’ongso-nu."
"དཔལམོ་ — ཨེང་ཨིན་པས་དབའེ། ཨའུ་ཀུན་ལེགས་ཨིན་པས་སྦོ་སྟེ། ཛའི་དབའེ། ད་ ངོ་མ་ཤེསཔ་རང་ཡར་སོ་ནུག། སྟེ་ཕྱག་ལཱ་ག་ཏེ་ཨིནམ།" "Päm — ’Eng, ’ime, ’wae! ’Au Kinle ’ime bô te. Dzai! ’Wae! D’a ngo-ma-shêp-ra-yâ-so-nu. Te, châla g’âti ’im."
"དཔལམོ་ — ཨེང་ལེགས་ཞིམ་ཨིན་པས་དབའེ། དེནེ་ད་ང་བཅས་ཡང ་སྨན་ཁང་ནང་ འོངམ་དང་ སྟབས་བདེ་ནི་མས་དབའེ།" "Päm — ’Eng, läzhim ’ime, ’wae! D’en d’a ngace-e ’menkha-na ômda, tapde-ni-me, ’wae."
"དཔལམོ་ — ཨིན་ན། དེནི་ང་བཅས་རྟག་བུ་རང་ཡར་འཐོན་འོང་། ཁྱིམ་ནང་ག་ཡང་མེད་ ག།" "Päm — ’Ina? D’en ngace tabura yâ thöng-ong. Chi-na g’â-e me-ga?"
"དཔལམོ་ — ཆོ་གུ་བཏང་ནི་འབད་ ཉོ་ཚོང་གཅིག་རྐྱབ་པར་ འོང་འོངམ་ཨིན།" "Päm — Chog’u tang-ni-be nyoptsho-ci ca-ba ong-ôm ’ing."
"དཔལམོ་ — ལགས་སོ། དེནི་ལོག་མཇལ་གེ། ད་རིས་ག་ནི་ཡང་ཕུལ་ནི་མིན་འདུག།" "Päm — Las, d’en lo jä-ge! D’ari g’ani-e phü-ni mindu."
"དཔལམོ་ — ལགས་སོ། ཨའུ་ཀུན་ལེགས་ དེནི་ལོག་ཤུལ་ལས་ སྐུ་གཟུགས་ བཟངམ་འབད་ མཇལ་གེ།" "Päm — Laso, ’Au Kinle, D’en lo shü-le kuzuzâm-be jä-ge!"
"དཔལམོ་ — མེད་ལགས།" "Päm — Mê lâ."
"དཔལམོ་ — ནང་པ་ཉོ་ཚོང་དེ་ཚུ་རྐྱབ་བཞག་སྦེ་ གནང་ཚེ་འགྱོ་ནི་ཨིན་ལགས།" "Päm — Nâba nyoptsho-di-tshu cap-zhâ-be ’nâtshe jo-ni ’ing lâ."
"དཔལམོ་ — ང་ཤར་ལས་ཨིན་ལགས།" "Päm — Nga Shâ-le ’ing lâ."
"དཔལམོ་ — ངོ་ཤེས་ནི་བཟུམ་ཅིག་འདུག། སྟེ་ ཐེ་རི་འབའ་རི་རང་ མི་ཤེས་པས་ ལགས།" "Päm — Ngoshê-ni zumci dû. Te, theribâri-ra mi-shê-be lâ."
"དཔལམོ་ — དཔལམོ་ཟེརཝ་ཨིན་ལགས།" "Päm — Päm z’eu ’ing lâ."
"དཔལམོ་ — སྟེ་ ཨའུ་ཀུན་ལེགས་ཨམ་ཡོད་ག།" "Päm — Te, ’Au Kinle ’am yö-ga?"
"པདྨ་ — གཞན་ག་ར་ཐོབ་ཅི་ལགས། དི་འབདཝ་དང་ ཟླ་རིམ་གི་དངུལ་ཕོགས་ཀྱི་ མ་དངུལ་དེ་མ་ཐོབ་ལགས།" "Pêma — Zhen g’âra thop-ci lâ. D’ibeuda darim-gi ’ngüpho-gi mangü-di ma-thop lâ."
ཀྲིག་ཀྲི་ triktri,
ཀི་ལྟབ་ kitap,
ཁ་གཤག་ khasha,
ཁ་གསལ་འབད་ khasebe,
ཁ་ཐུག་ khâthu,
ཁ་ཕྱི་ནི་ kha
ཁ་རྩ་ khâtsa,
ཁག་ khâ,
ཁག་ཆེ་ཏོག་ཏོ་ khâchetoto,
ཁག་ཆེ་ནི་ khâche-ni,
ཁམས་གཙང་ཏོག་ཏོ་ khamtsangtoto,
ཁམས་དངས་ཏོག་ཏོ་ khamd’angtoto,
ཁམས་ལོག་སི་སི་ khamlôsisi,
ཁམས་སངས་ khamsa,
ཁཝ་ khau,
ཁྱད་པར་ kheba,
ཁར་ kha,
ཁྲག་ thrâ,
ཁྲོམ་ཁ་ thromkha,
ཁུ་ཆ་ khuca,
ཁུ་ཆ་འགྲུལ་འཁོར་ khuca
ཁུངས་ khung,
ཁེ་ཏོག་ཏོ་ khetoto,
ཁེ་རྒོད་ khêko,
ཁོ་རེ་ khore,
ག་ཏེ་ g’âti,
ག་ཏེ་ཡང་ g’âtie,
ག་དེམ་ཅིག་འབད་ g’ademcibe,
ག་ར་ g’âra,
གངམ་ g’âm,
གངས་ g’ang,
གཅིག་ ci,
གཅིག་འདི་ cî-di,
གཉིད་ཐལ་ནི་ ’nyîthä-ni,
གཉེན་ ’nyen,
གཏམ་རྒྱུད་ tamjü,
གནགཔ་ ’nap,
གནང་ནི་ ’nang-ni,
གནང་ནི་ ’nang-ni,
གནམ་ ’nam,
གནམ་ ’nam,
གནམ་གྲུ་ ’namdru,
གནམ་གྲུ་ཐང་ ’namdruthang,
གནམ་བྱཱ་ ’nambjâ,
གནམ་མེད་ས་མེད་ ’namesame,
གནམ་ལོ་ ’namlo,
གནམ་སྲོ་ནི་ ’nam
གནས་བཅག་སྡོད་ནི་ ’näcâ
གནས་མཇལ་ནི་ ’näjä-ni,
གནས་ཚུལ་ ’nätshü,
གནས་སྐོར་ ’näko,
གཙོ་བོ་ tsou,
གཞན་ zhen,
གཞན་མི་ zhenmi,
གཞིས་ zhî,
གཞུ་ zhu,
གཞུང་ zhung,
གཞུང་གཡོག་ zhung’yo,
གཟའ་ za,
གཟིགས་ནི་ zî-ni,
གཟིམ་ཅུང་ zimcu,
གཟུགས་ zû,
གཡིབ་ནི་ ’üp-ni,
གཡུ་ ’yu,
གཡུས་ ’ü,
གཡོ་གཡོཝ་ ’yo’you,
གཡོག་ལཱ་ ’yôla,
གྱང་ཤུགས་རྐྱབ་ནི་ j’angshu
གྱལ་ g’ä,
གྱི་ g’i,
གྱི་ཅུང་ g’icu,
གྱོན་ནི་ g’ön-ni,
གྲགས་ནི་ dr’â-ni,
གྲགས་པ་ dr’aba,
གྲལ་ dr’ä,
གྲལ་ལས་ dr’ä-le,
གྲོགས་རམ་ dr’ôram,
གྲོལ་ནི་ dr’ö-ni,
གླ་ ’la,
གླང་ ’lang,
གླུ་འཐེན་ནི་ ’lu
གློག་བརྙན་ ’lok’nyen,
གསརཔ་ sâp,
གསིག་ནི་ sî-ni,
གསུང་ནི་ sung-ni,
གསོལ་རས་ söra,
གསོལ་རས་ söra,
གསོལཝ་བཏབ་ནི་ söu
གོ་སྐབས་ g’okap,
གོང་ gong,
གོང་ gong,
གོང་ gong,
གོང་མ་ g’ôm,
གོང་མ་ g’ôm,
ངནམ་ ngem,
ངོ་ཤེས་ནི་ ngoshê-ni,
ངོ་སྤྲོད་ལག་ཁྱེར་ ngotrö-lakhe,
ཅ་ལ་ cala,
ཆ་རོགས་ châro,
ཆག་ནི་ châ-ni,
ཆགས་ནི་ châ-ni
ཆང་ཟེ་ changze,
ཆད་ནི་ chê-ni,
ཆབ་གསང་ chapsa,
ཆར་ཆུ་ châchu,
ཆུ་ཚོད་འཁོར་ལོ་ chutshökhôlo,
ཆུ་འཁྱུ་ནི་ chûchu-ni,
ཆུ་རུད་ churü,
ཆུང་ཀུ་ chungku,
ཆུམ་ chum,
ཆེ་ or
ཆོ་གུ་ chog’u,
ཆོས་བཞིན་དུ་ chözhind’u,
ཆོས་བལྟ་ནི་ chô
ཆོས་བཤད་ནི་ chôshê-ni,
ཆོས་ཞུ་ནི་ chôzh’u-ni,
ཆོས་ལྷག་ནི་ chôlhâ-ni,
ཆོས་ལྷབ་ནི་ chôlhap-ni,
ཇོ་བདག་ j’ôda,
ཉ་ཁག་ཅུང་ nyakhachu,
ཉན་ཁུག་ nyenkhu,
ཉན་ཁུག་བཏབ་ནི་ nyenkhu
ཉམས་ནི་ nyam-ni,
ཉམས་ནི་ nyam-ni,
ཉལ་སར་ nyäsa,
ཉིམ་ nyim,
ཉོ་ཚོང་ nyoptsho,
ཏིག་རུབ་ tiru,
ཐག་ཆོད་ནི་ thâchö-ni,
ཐག་ཆོད་ནི་ thâchö-ni,
ཐག་བཅད་ནི་ thâcê-ni,
ཐབ་ཚང་ thaptsha,
ཐབ་ཚངཔ་ thaptshap,
ཐལ་ནི་ thä-ni,
ཐུན་བཏང་ནི་ thün
ཐེ་རི་འབའ་རི་ theribâri,
ཐོག་ལས་སྦེ་ thôlebe,
ཐོབ་ནི་ thop-ni,
ད་རེས་སྐབས་ཅིག་ d’are-kapci,
ད་ལྟོནི་ d’aton,
དཀྱི་རས་ kira,
དཀརཔོ་ kâp,
དཀརཔོ་ kâp,
དཀོན་མཆོག་ köncho,
དགའ་ཏོག་ཏོ་ gatoto,
དགའ་བ་ gawa,
དགའ་སྐྱིད་ gaki,
དགའ་སྟོན་ gatön,
དགོངས་ཡངས་ gungya,
དགོངསམ་ཞུ་ནི་ gomzh’u-ni,
དང་ da,
དང་པ་ d’angba,
དང་བཅསཔ་འབད་ dacäpbe,
དངུལ་ ’ngü,
དངུལ་ཁང་ ’ngükha,
དངུལ་ཁུག་ ’nyiku,
དངུལ་ཕོགས་ ’ngüpho,
དངོས་ ’ngö,
དཔའ་རྟགས་ pata,
དཔྱད་རིས་བཏང་ནི་ pcäre
